,name,link,state_year,unique_id
32,Kondapalli Srinivas,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=97,AndhraPradesh2024,AndhraPradesh2024_97
33,Palla Srinivas Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=454,AndhraPradesh2024,AndhraPradesh2024_454
34,Vadingadu Munaswamy Thomas,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=318,AndhraPradesh2024,AndhraPradesh2024_318
35,Yarlagadda Venkata Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=39,AndhraPradesh2024,AndhraPradesh2024_39
36,Giddi. Satyanarayana S/O Mahalakshmi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2661,AndhraPradesh2024,AndhraPradesh2024_2661
37,Ashok Reddy Muthumula,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=157,AndhraPradesh2024,AndhraPradesh2024_157
38,Maddipati Venkata Raju,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=41,AndhraPradesh2024,AndhraPradesh2024_41
39,Venigandla Ramu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=204,AndhraPradesh2024,AndhraPradesh2024_204
40,Pasim Sunil Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=236,AndhraPradesh2024,AndhraPradesh2024_236
41,Jayaram Gummanur,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=309,AndhraPradesh2024,AndhraPradesh2024_309
42,Mohammed Naseer Ahmed,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=287,AndhraPradesh2024,AndhraPradesh2024_287
43,Galla Madhavi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=101,AndhraPradesh2024,AndhraPradesh2024_101
44,Yarapathineni Srinivasa Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=62,AndhraPradesh2024,AndhraPradesh2024_62
45,Nandamuri Balakrishna,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=71,AndhraPradesh2024,AndhraPradesh2024_71
46,Ashok Bendalam,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2372,AndhraPradesh2024,AndhraPradesh2024_2372
47,Jyothula Nehru,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=102,AndhraPradesh2024,AndhraPradesh2024_102
48,Rajagopal Sreeram (Tataiah),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=45,AndhraPradesh2024,AndhraPradesh2024_45
49,Adinarayana Reddy Chadipirala,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2,AndhraPradesh2024,AndhraPradesh2024_2
50,Madhavi Reddappa Gari,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=457,AndhraPradesh2024,AndhraPradesh2024_457
51,Kandikunta Venkata Prasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=125,AndhraPradesh2024,AndhraPradesh2024_125
52,Kamineni Srinivas,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=323,AndhraPradesh2024,AndhraPradesh2024_323
53,Anamadi Venkateswara Rao @ Kondababu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=57,AndhraPradesh2024,AndhraPradesh2024_57
54,Pantam Venkateswara Rao (Pantam Nanaji),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=271,AndhraPradesh2024,AndhraPradesh2024_271
55,Amilineni Surendra Babu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=103,AndhraPradesh2024,AndhraPradesh2024_103
56,Krishna Chaitanya Reddy Putha,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=325,AndhraPradesh2024,AndhraPradesh2024_325
57,Inturi Nageswara Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=367,AndhraPradesh2024,AndhraPradesh2024_367
58,Dr.Ugra Narasimha Reddy Mukku,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=326,AndhraPradesh2024,AndhraPradesh2024_326
59,Dagumati Venkata Krishna Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=327,AndhraPradesh2024,AndhraPradesh2024_327
60,Boggula Dastagiri,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=31,AndhraPradesh2024,AndhraPradesh2024_31
61,Arava Sreedhar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1358,AndhraPradesh2024,AndhraPradesh2024_1358
62,Doctor Dola Sree Bala Veeranjaneya Swamy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=328,AndhraPradesh2024,AndhraPradesh2024_328
63,Bandaru Satyananda Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=460,AndhraPradesh2024,AndhraPradesh2024_460
64,Prashanthi Reddy Vemireddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=3,AndhraPradesh2024,AndhraPradesh2024_3
65,Muppidi Venkateswara Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=330,AndhraPradesh2024,AndhraPradesh2024_330
66,Chandrababu Naidu Nara,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=108,AndhraPradesh2024,AndhraPradesh2024_108
67,T.G. Bharath,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=357,AndhraPradesh2024,AndhraPradesh2024_357
68,Jagadeeswari Thoyaka,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=334,AndhraPradesh2024,AndhraPradesh2024_334
69,Brahmanandareddy Julakanti,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=32,AndhraPradesh2024,AndhraPradesh2024_32
70,Kollu Ravindra,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=461,AndhraPradesh2024,AndhraPradesh2024_461
71,M.S.Raju,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1833,AndhraPradesh2024,AndhraPradesh2024_1833
72,M.Shajahan Basha,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=23,AndhraPradesh2024,AndhraPradesh2024_23
73,Bandaru Satyanarayana Murthy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2677,AndhraPradesh2024,AndhraPradesh2024_2677
74,Jogeswara Rao.V,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=261,AndhraPradesh2024,AndhraPradesh2024_261
75,Nara Lokesh,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=47,AndhraPradesh2024,AndhraPradesh2024_47
76,Y. Balanagi Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=175,AndhraPradesh2024,AndhraPradesh2024_175
77,Kandula Narayana Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2647,AndhraPradesh2024,AndhraPradesh2024_2647
78,Datla Subba Raju (Buchibabu),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=431,AndhraPradesh2024,AndhraPradesh2024_431
79,Sudhakar Putta,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=340,AndhraPradesh2024,AndhraPradesh2024_340
80,Vasantha Venkata Krishna Prasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=344,AndhraPradesh2024,AndhraPradesh2024_344
81,G. Bhanu Prakash,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=121,AndhraPradesh2024,AndhraPradesh2024_121
82,Tangirala Sowmya,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=343,AndhraPradesh2024,AndhraPradesh2024_343
83,G Jayasurya,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=358,AndhraPradesh2024,AndhraPradesh2024_358
84,Nasyam Mohammed Farook,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=129,AndhraPradesh2024,AndhraPradesh2024_129
85,Baggu Ramanamurthy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=153,AndhraPradesh2024,AndhraPradesh2024_153
86,Bommidi Narayana Nayakar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=408,AndhraPradesh2024,AndhraPradesh2024_408
87,Aravinda Babu Chadalavada,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=46,AndhraPradesh2024,AndhraPradesh2024_46
88,Ayyannapatrudu Chintakayala,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=67,AndhraPradesh2024,AndhraPradesh2024_67
89,Lokam Naga Madhavi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=398,AndhraPradesh2024,AndhraPradesh2024_398
90,Narayana Ponguru,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=240,AndhraPradesh2024,AndhraPradesh2024_240
91,Kotamreddy Sridhar Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=11,AndhraPradesh2024,AndhraPradesh2024_11
92,Kandula Durgesh,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=405,AndhraPradesh2024,AndhraPradesh2024_405
93,Kolusu Partha Sarathy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=355,AndhraPradesh2024,AndhraPradesh2024_355
94,Damacharla Janardhana Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=369,AndhraPradesh2024,AndhraPradesh2024_369
95,Matsyarasa Visweswara Raju,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=142,AndhraPradesh2024,AndhraPradesh2024_142
96,Dr.Nimmala Ramanaidu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=406,AndhraPradesh2024,AndhraPradesh2024_406
97,Jayakrishna Nimmaka,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1059,AndhraPradesh2024,AndhraPradesh2024_1059
98,Amaranatha Reddy. N,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=120,AndhraPradesh2024,AndhraPradesh2024_120
99,Gouthu Sireesha,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=130,AndhraPradesh2024,AndhraPradesh2024_130
100,Kumar Raja Varla,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=20,AndhraPradesh2024,AndhraPradesh2024_20
101,Gowru Charitha Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=60,AndhraPradesh2024,AndhraPradesh2024_60
102,Yeluri Sambasiva Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=373,AndhraPradesh2024,AndhraPradesh2024_373
103,Bonela Vijaya Chandra,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=137,AndhraPradesh2024,AndhraPradesh2024_137
104,Mamidi Govinda Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=133,AndhraPradesh2024,AndhraPradesh2024_133
105,K.E. Shyam Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=126,AndhraPradesh2024,AndhraPradesh2024_126
106,Anitha Vangalapudi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=388,AndhraPradesh2024,AndhraPradesh2024_388
107,Bhashyam Praveen,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=462,AndhraPradesh2024,AndhraPradesh2024_462
108,Kagitha Krishnaprasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=351,AndhraPradesh2024,AndhraPradesh2024_351
109,China Rajappa Nimmakayala,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=269,AndhraPradesh2024,AndhraPradesh2024_269
110,Bode Prasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=348,AndhraPradesh2024,AndhraPradesh2024_348
111,Panchakarla Ramesh Babu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2080,AndhraPradesh2024,AndhraPradesh2024_2080
112,S. Savitha,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=84,AndhraPradesh2024,AndhraPradesh2024_84
113,Nallari Kishan Kumar Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=160,AndhraPradesh2024,AndhraPradesh2024_160
114,Konidala Pawan Kalyan,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=272,AndhraPradesh2024,AndhraPradesh2024_272
115,Chirri Balaraju,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=399,AndhraPradesh2024,AndhraPradesh2024_399
116,Dhulipalla Narendra Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=463,AndhraPradesh2024,AndhraPradesh2024_463
117,Varupula Satya Prabha,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=464,AndhraPradesh2024,AndhraPradesh2024_464
118,Burla Ramanjaneyulu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=925,AndhraPradesh2024,AndhraPradesh2024_925
119,Nandyala Varadarajula Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=76,AndhraPradesh2024,AndhraPradesh2024_76
120,Ys Jagan Mohan Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=178,AndhraPradesh2024,AndhraPradesh2024_178
121,Peddireddi Ramachandra Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=440,AndhraPradesh2024,AndhraPradesh2024_440
122,K Murali Mohan,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=119,AndhraPradesh2024,AndhraPradesh2024_119
123,Adireddy Srinivas,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=259,AndhraPradesh2024,AndhraPradesh2024_259
124,Butchaiah Choudary Gorantla,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=256,AndhraPradesh2024,AndhraPradesh2024_256
125,Kondru Murali Mohan,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=135,AndhraPradesh2024,AndhraPradesh2024_135
126,Akepati Amarnath Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=21,AndhraPradesh2024,AndhraPradesh2024_21
127,Bathula Balaramakrishna S/O Gangarao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=260,AndhraPradesh2024,AndhraPradesh2024_260
128,Vasamsetti Subash,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=267,AndhraPradesh2024,AndhraPradesh2024_267
129,Miriyala Sirisha Devi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=276,AndhraPradesh2024,AndhraPradesh2024_276
130,Paritala Sunithamma,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=248,AndhraPradesh2024,AndhraPradesh2024_248
131,Mandipalli Ramprasad Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=87,AndhraPradesh2024,AndhraPradesh2024_87
132,Kalava Srinivasulu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=242,AndhraPradesh2024,AndhraPradesh2024_242
133,Deva Varaprasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=264,AndhraPradesh2024,AndhraPradesh2024_264
134,Anagani Satya Prasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=465,AndhraPradesh2024,AndhraPradesh2024_465
135,Gummidi Sandhyarani,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=138,AndhraPradesh2024,AndhraPradesh2024_138
136,Vijay Kumar Bn,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=466,AndhraPradesh2024,AndhraPradesh2024_466
137,Chandra Mohan Reddy Somireddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=361,AndhraPradesh2024,AndhraPradesh2024_361
138,Kanna Lakshminarayana,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=283,AndhraPradesh2024,AndhraPradesh2024_283
139,Koneti Adimulam,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=444,AndhraPradesh2024,AndhraPradesh2024_444
140,Bandaru Sravani Sree,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=35,AndhraPradesh2024,AndhraPradesh2024_35
141,Gondu Shankar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=381,AndhraPradesh2024,AndhraPradesh2024_381
142,Venkata Sudhir Reddy Bojjala,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=122,AndhraPradesh2024,AndhraPradesh2024_122
143,Budda Rajasekhara Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=24,AndhraPradesh2024,AndhraPradesh2024_24
144,Kolla Lalitha Kumari,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=467,AndhraPradesh2024,AndhraPradesh2024_467
145,Nelavala Vijayasree,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=235,AndhraPradesh2024,AndhraPradesh2024_235
146,Bolisetty Srinivas,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=409,AndhraPradesh2024,AndhraPradesh2024_409
147,Tenali Sravan Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=61,AndhraPradesh2024,AndhraPradesh2024_61
148,J.C.Ashmit Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=58,AndhraPradesh2024,AndhraPradesh2024_58
149,Arimilli Radha Krishna,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2566,AndhraPradesh2024,AndhraPradesh2024_2566
150,Atchannaidu Kinjarapu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=384,AndhraPradesh2024,AndhraPradesh2024_384
151,Nadendla Manohar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=802,AndhraPradesh2024,AndhraPradesh2024_802
152,Peddireddy Dwarakanatha Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=44,AndhraPradesh2024,AndhraPradesh2024_44
153,Aranii Srenevasulu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=449,AndhraPradesh2024,AndhraPradesh2024_449
154,Kolikapudi Srinivasa Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=342,AndhraPradesh2024,AndhraPradesh2024_342
155,Divya Yanamala,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=254,AndhraPradesh2024,AndhraPradesh2024_254
156,Kakarla Suresh,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=241,AndhraPradesh2024,AndhraPradesh2024_241
157,Kanumuru Raghu Rama Krishna Raju (R R R),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=468,AndhraPradesh2024,AndhraPradesh2024_468
158,Dharmaraju Patsamatla,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=402,AndhraPradesh2024,AndhraPradesh2024_402
159,Payyavula Keshav,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=14,AndhraPradesh2024,AndhraPradesh2024_14
160,Ananda Babu Nakka,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=296,AndhraPradesh2024,AndhraPradesh2024_296
161,Kurugondla Ramakrishna,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2365,AndhraPradesh2024,AndhraPradesh2024_2365
162,Bonda Umamaheswara Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=116,AndhraPradesh2024,AndhraPradesh2024_116
163,Gadde Rama Mohan,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=88,AndhraPradesh2024,AndhraPradesh2024_88
164,Yalamanchili Satyanarayana Chowdary (Sujana Chowdary),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=15,AndhraPradesh2024,AndhraPradesh2024_15
165,Gonuguntla Venkata Siva Sita Rama Anzanneyllu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=64,AndhraPradesh2024,AndhraPradesh2024_64
166,Velagapudi Ramakrishna Babu,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=114,AndhraPradesh2024,AndhraPradesh2024_114
167,Penmetsa Vishnu Kumar Raju,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2684,AndhraPradesh2024,AndhraPradesh2024_2684
168,Ch.Vamsi Krishna Srinivas,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2262,AndhraPradesh2024,AndhraPradesh2024_2262
169,P.G.V.R.Naidu(Ganababu),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=469,AndhraPradesh2024,AndhraPradesh2024_469
170,Aditi Vijayalakshmi Gajapathi Raju Pusapati,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=470,AndhraPradesh2024,AndhraPradesh2024_470
171,Sundarapu Vijay Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=211,AndhraPradesh2024,AndhraPradesh2024_211
172,B. Jayanageswara Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=163,AndhraPradesh2024,AndhraPradesh2024_163
173,Chandra Sekhar Tatiparthi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=162,AndhraPradesh2024,AndhraPradesh2024_162
174,Kento Jini,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=5,ArunachalPradesh2024,ArunachalPradesh2024_5
175,Topin Ete,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=11,ArunachalPradesh2024,ArunachalPradesh2024_11
176,Mopi Mihu,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=12,ArunachalPradesh2024,ArunachalPradesh2024_12
177,Kumar Waii,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=13,ArunachalPradesh2024,ArunachalPradesh2024_13
178,Nyabi Jini Dirchi,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=15,ArunachalPradesh2024,ArunachalPradesh2024_15
179,Dongru Siongju,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=6,ArunachalPradesh2024,ArunachalPradesh2024_6
180,Nikh Kamin,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=107,ArunachalPradesh2024,ArunachalPradesh2024_107
181,Wanglin Lowangdong,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=18,ArunachalPradesh2024,ArunachalPradesh2024_18
182,Tesam Pongte,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=19,ArunachalPradesh2024,ArunachalPradesh2024_19
183,Hamjong Tangha,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=1,ArunachalPradesh2024,ArunachalPradesh2024_1
184,Chowna Mein,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=22,ArunachalPradesh2024,ArunachalPradesh2024_22
185,Hayeng Mangfi,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=23,ArunachalPradesh2024,ArunachalPradesh2024_23
186,Puinnyo Apum,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=25,ArunachalPradesh2024,ArunachalPradesh2024_25
187,Taniya Soki,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=26,ArunachalPradesh2024,ArunachalPradesh2024_26
188,Phurpa Tsering,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=7,ArunachalPradesh2024,ArunachalPradesh2024_7
189,Nabam Vivek,https://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=88,ArunachalPradesh2024,ArunachalPradesh2024_88
